"semana_agg","semana","n_almacenes_activos"
202042,"2020-10-23",1
202043,"2020-10-25",2
202044,"2020-11-02",5
202045,"2020-11-08",7
202046,"2020-11-15",4
202047,"2020-11-22",6
202048,"2020-11-29",6
202049,"2020-12-06",7
202050,"2020-12-13",15
202051,"2020-12-20",13
202052,"2020-12-27",12
202101,"2021-01-03",16
202102,"2021-01-10",25
202103,"2021-01-17",31
202104,"2021-01-24",41
202105,"2021-01-31",43
202106,"2021-02-07",45
202107,"2021-02-14",51
202108,"2021-02-21",56
202109,"2021-02-28",73
202110,"2021-03-07",65
202111,"2021-03-14",70
202112,"2021-03-21",67
202113,"2021-03-28",77
202114,"2021-04-04",78
202115,"2021-04-11",81
202116,"2021-04-18",92
202117,"2021-04-25",93
202118,"2021-05-02",103
202119,"2021-05-09",102
202120,"2021-05-16",99
202121,"2021-05-23",111
202122,"2021-05-30",107
202123,"2021-06-06",108
202124,"2021-06-13",118
202125,"2021-06-20",120
202126,"2021-06-27",121
202127,"2021-07-04",125
202128,"2021-07-11",130
202129,"2021-07-18",135
202130,"2021-07-25",142
202131,"2021-08-01",145
202132,"2021-08-08",147
202133,"2021-08-15",156
202134,"2021-08-22",164
202135,"2021-08-29",175
202136,"2021-09-05",183
202137,"2021-09-12",187
202138,"2021-09-19",184
202139,"2021-09-26",186
202140,"2021-10-03",183
202141,"2021-10-10",183
202142,"2021-10-17",180
