"semana","tipo_registro","n_almacenes","n_acumulado"
"2020-10-08",ACTIVO,1,1
"2020-10-15",ACTIVO,1,2
"2020-10-23",ACTIVO,11,13
"2020-10-26",ACTIVO,33,46
"2020-11-01",ACTIVO,41,87
"2020-11-08",ACTIVO,15,102
"2020-11-15",ACTIVO,28,130
"2020-11-22",ACTIVO,35,165
"2020-11-29",ACTIVO,68,233
"2020-12-06",ACTIVO,47,280
"2020-12-13",ACTIVO,55,335
"2020-12-20",ACTIVO,30,365
"2020-12-27",ACTIVO,53,418
"2021-01-03",ACTIVO,84,502
"2021-01-10",ACTIVO,104,606
"2021-01-17",ACTIVO,88,694
"2021-01-24",ACTIVO,64,758
"2021-01-31",ACTIVO,60,818
"2021-02-07",ACTIVO,98,916
"2021-02-14",ACTIVO,85,1001
"2021-02-21",ACTIVO,91,1092
"2021-02-28",ACTIVO,88,1180
"2021-03-07",ACTIVO,46,1226
"2021-03-14",ACTIVO,39,1265
"2021-03-21",ACTIVO,34,1299
"2021-03-28",ACTIVO,43,1342
"2021-04-04",ACTIVO,45,1387
"2021-04-11",ACTIVO,48,1435
"2021-04-18",ACTIVO,43,1478
"2021-04-25",ACTIVO,44,1522
"2021-05-02",ACTIVO,21,1543
"2021-05-10",ACTIVO,32,1575
"2021-05-16",ACTIVO,25,1600
"2021-05-23",ACTIVO,30,1630
"2021-05-30",ACTIVO,43,1673
"2021-06-06",ACTIVO,27,1700
"2021-06-13",ACTIVO,47,1747
"2021-06-20",ACTIVO,30,1777
"2021-06-27",ACTIVO,33,1810
"2021-07-04",ACTIVO,94,1904
"2021-07-11",ACTIVO,54,1958
"2021-07-18",ACTIVO,48,2006
"2021-07-25",ACTIVO,47,2053
"2021-08-01",ACTIVO,47,2100
"2021-08-08",ACTIVO,41,2141
"2021-08-15",ACTIVO,50,2191
"2021-08-22",ACTIVO,55,2246
"2021-08-29",ACTIVO,36,2282
"2021-09-05",ACTIVO,63,2345
"2021-09-12",ACTIVO,36,2381
"2021-09-19",ACTIVO,34,2415
"2021-09-26",ACTIVO,16,2431
"2021-10-04",ACTIVO,15,2446
"2021-10-10",ACTIVO,18,2464
"2021-10-17",ACTIVO,28,2492
"2021-10-24",ACTIVO,5,2497
"2020-10-27",INACTIVO,3,3
"2020-11-05",INACTIVO,12,15
"2020-11-09",INACTIVO,6,21
"2020-11-18",INACTIVO,8,29
"2020-11-22",INACTIVO,16,45
"2020-11-30",INACTIVO,19,64
"2020-12-07",INACTIVO,14,78
"2020-12-13",INACTIVO,33,111
"2020-12-20",INACTIVO,13,124
"2020-12-28",INACTIVO,23,147
"2021-01-04",INACTIVO,49,196
"2021-01-10",INACTIVO,45,241
"2021-01-17",INACTIVO,37,278
"2021-01-24",INACTIVO,18,296
"2021-01-31",INACTIVO,21,317
"2021-02-07",INACTIVO,56,373
"2021-02-14",INACTIVO,48,421
"2021-02-21",INACTIVO,31,452
"2021-02-28",INACTIVO,37,489
"2021-03-08",INACTIVO,12,501
"2021-03-17",INACTIVO,9,510
"2021-03-21",INACTIVO,18,528
"2021-03-28",INACTIVO,19,547
"2021-04-04",INACTIVO,18,565
"2021-04-11",INACTIVO,17,582
"2021-04-18",INACTIVO,11,593
"2021-04-26",INACTIVO,12,605
"2021-05-07",INACTIVO,1,606
"2021-05-10",INACTIVO,5,611
"2021-05-17",INACTIVO,3,614
"2021-05-25",INACTIVO,7,621
"2021-05-30",INACTIVO,11,632
"2021-06-06",INACTIVO,10,642
"2021-06-13",INACTIVO,11,653
"2021-06-23",INACTIVO,5,658
"2021-06-29",INACTIVO,6,664
"2021-07-05",INACTIVO,37,701
"2021-07-11",INACTIVO,29,730
"2021-07-18",INACTIVO,31,761
"2021-07-25",INACTIVO,31,792
"2021-08-01",INACTIVO,35,827
"2021-08-08",INACTIVO,49,876
"2021-08-15",INACTIVO,59,935
"2021-08-22",INACTIVO,22,957
"2021-08-30",INACTIVO,23,980
"2021-09-05",INACTIVO,74,1054
"2021-09-12",INACTIVO,29,1083
"2021-09-19",INACTIVO,24,1107
"2021-09-26",INACTIVO,17,1124
"2021-10-04",INACTIVO,9,1133
"2021-10-11",INACTIVO,9,1142
"2021-10-18",INACTIVO,9,1151
"2021-10-24",INACTIVO,6,1157
